ects_kolegija,tezina_kolegija,postotak_ocjene,tezina_obveze,sigurnost_prije,tip_Ispit,tip_Kolokvij,tip_Labos,tip_Mini test,tip_Ostalo,tip_Projekt,tip_Seminar,tip_Usmeni ispit,tip_Zadaće,sati_ucenja,sati_ucenja_log,id_ispitanika
7.0,8.0,5.0,9.0,7.0,False,False,False,False,False,False,False,True,False,70.0,4.2626798770413155,33
2.0,5.0,50.0,6.0,7.0,True,False,False,False,False,False,False,False,False,20.0,3.044522437723423,33
2.0,5.0,100.0,4.0,7.0,False,False,False,False,False,False,True,False,False,12.0,2.5649493574615367,33
5.0,8.0,100.0,9.0,4.0,True,False,False,False,False,False,False,False,False,42.0,3.7612001156935624,33
5.0,8.0,,9.0,3.0,False,False,False,False,False,False,False,True,False,60.0,4.110873864173311,33
5.0,4.0,30.0,4.0,6.0,False,True,False,False,False,False,False,False,False,10.0,2.3978952727983707,34
5.0,4.0,30.0,9.0,5.0,False,False,False,False,False,True,False,False,False,30.0,3.4339872044851463,34
6.0,7.0,50.0,7.0,5.0,False,True,False,False,False,False,False,False,False,15.0,2.772588722239781,34
6.0,7.0,50.0,7.0,4.0,False,False,False,False,False,True,False,False,False,50.0,3.9318256327243257,34
2.0,2.0,107.5,2.0,8.0,False,False,False,False,False,False,True,False,False,4.0,1.6094379124341003,35
2.0,2.0,107.5,3.0,7.0,False,True,False,False,False,False,False,False,False,4.0,1.6094379124341003,35
5.0,10.0,100.0,2.0,9.0,False,False,False,False,False,False,True,False,False,2.0,1.0986122886681098,35
5.0,10.0,100.0,10.0,1.0,True,False,False,False,False,False,False,False,False,100.0,4.61512051684126,35
5.0,6.0,100.0,6.0,4.0,True,False,False,False,False,False,False,False,False,8.0,2.1972245773362196,35
5.0,6.0,,5.0,5.0,False,False,False,False,False,False,False,True,False,8.0,2.1972245773362196,35
6.0,6.0,100.0,7.0,2.0,True,False,False,False,False,False,False,False,False,60.0,4.110873864173311,36
6.0,6.0,0.0,1.0,1.0,False,False,False,False,True,False,False,False,False,1.0,0.6931471805599453,36
6.0,8.0,50.0,9.0,1.0,False,True,False,False,False,False,False,False,False,70.0,4.2626798770413155,36
6.0,8.0,10.0,2.0,2.0,False,False,False,False,True,False,False,False,False,4.0,1.6094379124341003,36
9.0,9.0,10.0,9.0,2.0,True,False,False,False,False,False,False,False,False,120.0,4.795790545596741,36
5.0,7.0,40.4,7.0,2.0,False,True,False,False,False,False,False,False,False,60.0,4.110873864173311,37
5.0,7.0,40.4,8.0,1.0,False,True,False,False,False,False,False,False,False,60.0,4.110873864173311,37
3.0,1.0,41.1,1.0,10.0,False,True,False,False,False,False,False,False,False,3.0,1.3862943611198906,37
3.0,1.0,6.8,1.0,10.0,False,False,False,False,False,False,False,False,True,1.0,0.6931471805599453,37
6.0,4.0,166.7,6.0,3.0,True,False,False,False,False,False,False,False,False,30.0,3.4339872044851463,37
6.0,4.0,,8.0,7.0,False,False,False,False,False,False,False,True,False,30.0,3.4339872044851463,37
8.0,7.0,375.0,7.0,8.0,False,True,False,False,False,False,False,False,False,35.0,3.58351893845611,38
8.0,7.0,375.0,9.0,6.0,False,False,False,False,False,False,False,True,False,25.0,3.258096538021482,38
8.0,7.0,76.9,7.0,9.0,True,False,False,False,False,False,False,False,False,55.0,4.02535169073515,38
8.0,7.0,256.4,9.0,9.0,False,False,False,False,False,False,False,True,False,55.0,4.02535169073515,38
8.0,8.0,100.0,9.0,8.0,True,False,False,False,False,False,False,False,False,65.0,4.189654742026425,38
8.0,8.0,,9.0,7.0,False,False,False,False,False,False,False,True,False,66.0,4.204692619390966,38
11.0,9.0,11.2,5.0,8.0,False,False,False,False,False,False,True,False,False,24.0,3.2188758248682006,39
11.0,9.0,22.5,8.0,6.0,False,True,False,False,False,False,False,False,False,18.0,2.9444389791664403,39
1.0,8.0,31.2,2.0,5.0,False,True,False,False,False,False,False,False,False,2.0,1.0986122886681098,39
1.0,8.0,62.5,7.0,6.0,True,False,False,False,False,False,False,False,False,4.0,1.6094379124341003,39
3.0,8.0,21.7,8.0,4.0,True,False,False,False,False,False,False,False,False,20.0,3.044522437723423,39
3.0,8.0,,9.0,7.0,False,False,False,False,False,False,False,True,False,20.0,3.044522437723423,39
6.0,5.0,0.0,1.0,5.0,False,False,False,False,True,False,False,False,False,10.0,2.3978952727983707,40
6.0,5.0,100.0,5.0,6.0,False,True,False,False,False,False,False,False,False,10.0,2.3978952727983707,40
3.0,4.0,113.6,5.0,7.0,False,True,False,False,False,False,False,False,False,25.0,3.258096538021482,40
6.0,8.0,100.0,8.0,3.0,True,False,False,False,False,False,False,False,False,20.0,3.044522437723423,40
10.0,9.0,50.0,8.0,8.0,False,True,False,False,False,False,False,False,False,35.0,3.58351893845611,41
10.0,9.0,50.0,10.0,7.0,False,True,False,False,False,False,False,False,False,40.0,3.713572066704308,41
3.0,1.0,50.0,4.0,8.0,False,True,False,False,False,False,False,False,False,8.0,2.1972245773362196,41
3.0,1.0,50.0,3.0,7.0,False,True,False,False,False,False,False,False,False,8.0,2.1972245773362196,41
7.0,8.0,100.0,9.0,4.0,True,False,False,False,False,False,False,False,False,60.0,4.110873864173311,41
7.0,8.0,,8.0,4.0,False,False,False,False,False,False,False,True,False,15.0,2.772588722239781,41
9.0,8.0,100.0,10.0,4.0,False,True,False,False,False,False,False,False,False,300.0,5.707110264748875,42
9.0,8.0,100.0,7.0,4.0,False,False,False,False,False,False,False,True,False,75.0,4.330733340286331,42
7.0,10.0,100.0,10.0,2.0,False,True,False,False,False,False,False,False,False,100.0,4.61512051684126,42
7.0,10.0,50.0,7.0,2.0,False,False,False,False,False,False,True,False,False,35.0,3.58351893845611,42
6.0,6.0,100.0,7.0,7.0,True,False,False,False,False,False,False,False,False,45.0,3.828641396489095,42
6.0,6.0,,7.0,4.0,False,False,False,False,False,False,False,True,False,30.0,3.4339872044851463,42
5.0,5.0,35.0,6.0,5.0,False,True,False,False,False,False,False,False,False,20.0,3.044522437723423,43
5.0,5.0,50.0,5.0,5.0,False,False,False,False,False,False,True,False,False,10.0,2.3978952727983707,43
5.0,7.0,100.0,8.0,3.0,False,True,False,False,False,False,False,False,False,50.0,3.9318256327243257,43
5.0,7.0,20.0,6.0,2.0,False,False,False,True,False,False,False,False,False,15.0,2.772588722239781,43
8.0,7.0,50.0,8.0,6.0,False,True,False,False,False,False,False,False,False,50.0,3.9318256327243257,44
8.0,7.0,50.0,5.0,8.0,False,False,False,False,False,False,True,False,False,20.0,3.044522437723423,44
10.0,8.0,100.0,8.0,8.0,False,True,False,False,False,False,False,False,False,20.0,3.044522437723423,44
10.0,8.0,50.0,8.0,8.0,True,False,False,False,False,False,False,False,False,50.0,3.9318256327243257,44
